"CandidateId","RawCDRId","CallKey","LinkedId","UniqueId","Extension","Direction","DurationSeconds","RecordingStatus","AudioChannels","AudioCodec","CustomerClassMasked","ReasonForSelection","PIIMaskedNotes"
"C0001","287","linked:1785224329.238133","1785224329.238133","1785224355.238144","404","inbound","269","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_9","No phone number or audio included"
"C0002","12999","linked:1785569791.265741","1785569791.265741","1785569799.265756","400","inbound","346","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0003","13720","linked:1785585768.275305","1785585768.275305","1785585776.275320","400","inbound","249","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_14","No phone number or audio included"
"C0004","11776","linked:1785323664.255483","1785323664.255483","1785323672.255497","400","inbound","247","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0005","14638","linked:1785674187.286260","1785674187.286260","1785674190.286274","215","outbound","362","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_8","No phone number or audio included"
"C0006","14122","linked:1785656995.280122","1785656995.280122","1785657000.280136","400","inbound","236","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_13","No phone number or audio included"
"C0007","1690","linked:1785320130.253124","1785320130.253124","1785320140.253139","400","inbound","221","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_8","No phone number or audio included"
"C0008","15285","linked:1785750800.293160","1785750800.293160","1785750808.293175","400","inbound","216","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0009","459","linked:1785226884.239649","1785226884.239649","1785226896.239664","400","inbound","214","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0010","13214","linked:1785574838.268570","1785574838.268570","1785574845.268585","400","inbound","210","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_16","No phone number or audio included"
"C0011","629","linked:1785229410.241190","1785229410.241190","1785229433.241215","401","inbound","209","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_14","No phone number or audio included"
"C0012","14654","linked:1785675010.286562","1785675010.286562","1785675019.286577","401","inbound","206","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_8","No phone number or audio included"
"C0013","13734","linked:1785586728.275438","1785586728.275438","1785586755.275453","400","inbound","206","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0014","11813","linked:1785324517.255834","1785324517.255834","1785324524.255849","401","inbound","204","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0015","1524","linked:1785315288.250816","1785315288.250816","1785315296.250831","214","outbound","202","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_6","No phone number or audio included"
"C0016","15379","linked:1785751538.293991","1785751538.293991","1785751541.294006","400","inbound","194","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_12","No phone number or audio included"
"C0017","646","linked:1785230199.241401","1785230199.241401","1785230206.241416","401","inbound","183","REFERENCED_UNVERIFIED","UNKNOWN","UNKNOWN","UNKNOWN","MULTI_LEG_15","No phone number or audio included"
